Food,Carbs,Calories,Protein,Fat
"APPLEBEE'S, 9 oz house sirloin steak",0.0,490.0,26.85,9.08
"APPLEBEE'S, Double Crunch Shrimp",25.96,837.5,12.31,18.9
"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",21.08,371.5,5.01,4.34
"APPLEBEE'S, chicken tenders platter",17.98,769.0,19.62,16.24
"APPLEBEE'S, chicken tenders, from kids' menu",18.36,767.0,19.25,16.15
"APPLEBEE'S, chili",4.57,406.5,12.56,9.79
"APPLEBEE'S, coleslaw",13.17,310.5,0.79,7.09
"APPLEBEE'S, crunchy onion rings",40.17,921.5,4.58,19.61
"APPLEBEE'S, fish, hand battered",16.65,523.0,13.23,9.14
"APPLEBEE'S, french fries",39.5,751.5,3.31,13.17
"APPLEBEE'S, mozzarella sticks",22.87,819.5,14.87,18.37
"ARBY'S, roast beef sandwich, classic",22.21,628.0,15.17,10.3
"Abiyuch, raw",17.6,179.5,1.5,0.1
"Acerola juice, raw",4.8,59.5,0.4,0.3
"Acerola, (west indian cherry), raw",7.69,83.0,0.4,0.3
Acorn stew (Apache),9.22,247.0,6.81,3.47
"Agave, cooked (Southwest)",32.0,349.0,0.99,0.29
"Agave, dried (Southwest)",81.98,884.0,1.71,0.69
"Agave, raw (Southwest)",16.23,177.0,0.52,0.15
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",10.5,1217.0,9.0,43.5
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",13.4,916.0,3.4,31.8
"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",0.9,668.5,21.7,18.6
"Alcoholic Beverage, wine, table, red, Barbera",2.79,220.0,0.07,0.0
"Alcoholic Beverage, wine, table, red, Burgundy",3.69,223.0,0.07,0.0
"Alcoholic Beverage, wine, table, red, Cabernet Franc",2.45,216.0,0.07,0.0
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",2.6,215.0,0.07,0.0
"Alcoholic Beverage, wine, table, red, Carignane",2.4,192.5,0.07,0.0
"Alcoholic Beverage, wine, table, red, Claret",3.01,215.5,0.07,0.0
"Alcoholic Beverage, wine, table, red, Gamay",2.38,202.0,0.07,0.0
"Alcoholic Beverage, wine, table, red, Lemberger",2.46,208.5,0.07,0.0
"Alcoholic Beverage, wine, table, red, Merlot",2.51,215.5,0.07,0.0
"Alcoholic Beverage, wine, table, red, Mouvedre",2.64,228.5,0.07,0.0
